SYMBOL,NEWS,SentimentScore
ACC,"['acc ltd launches chandrapur green buildingcentre', 'sep number number', 'buy acc target rs number manasjaiswal', 'sep number number', 'acc ltd accbo shares tick downnumbernumber', 'sep number number', 'market corner eye on technicals for acc ltdaccns', 'sep number number', 'acc bob and tata power to move out of nifty number from septnumber', 'aug number number', 'acc ltd accns shares movenumbernumber', 'number hours ago', 'ek rupaye ka kimat acc ltd asked to redeposit rs numbernumber crore as gst citing a', 'sep number number', 'clemson rb honored byacc', 'number hours ago', 'clemson shows acc remains its playground all but ends lamar jacksons heisman', 'sep number number', 'india shares lower at close of trade nifty number downnumbernumber', 'number hours ago']",sentiment - Stock: ACC score:0.217
AMBUJACEM,"['buy ambuja cements target rs number kunalbothra', 'aug number number', 'buy ambuja cements target rs number dharmeshshah', 'aug number number', 'acc ambuja cements evaluatingmerger', 'may number number', 'buy ambuja cements ltd target rs number prabhudaslilladher', 'jun number number', 'ambuja cements higher realizations save the day but unlikely tosustain', 'jul number number', 'ambuja cements higher profits are notenough', 'feb number number', 'lafargeholcim hikes stake in ambuja cementacc', 'nov number number', 'ambuja cements stocks movement could bedeceptive', 'may number number', 'buy ambuja cements target rs numbernumber  rakeshbansal', 'may number number', 'ambuja cements acc shares rally on mergerplans', 'may number number']",sentiment - Stock: AMBUJACEM score:0.173
GRASIM,"['grasim industries birla spunshades gets usda biobasedcertification', 'sep number number', 'grasim industries divests grasim bhiwani textiles to doneargroup', 'jul number number', 'buy grasim industries target rs number shrikantchouhan', 'aug number number', 'grasim industries ltd fixes record date for scheme ofamalgamation', 'jun number number', 'grasim industries qnumber net profit up number at numbercr', 'aug number number', 'merger of grasim and aditya birla nuvo gets ncltclearance', 'jun number number', 'grasim industries qnumberfynumber consolidated net profit rises numbernumberyoy', 'aug number number', 'grasim industries limited grasimns movesnumbernumber', 'number hours ago', 'grasim industries holding company discount remains aconcern', 'aug number number', 'grasim industries gains ahead of big rejig heres all you needknow', 'jun number number']",sentiment - Stock: GRASIM score:0.172
INDIACEM,"['buy india cements target rs number kunalbothra', 'sep number number', 'nclt clears merger of firms with indiacements', 'sep number number', 'buy india cements target rs number manasjaiswal', 'sep number number', 'india cements to tap nonsouthern markets nsrinivasan', 'sep number number', 'crafting of india cementsltd', 'aug number number', 'india cements ltd orders an flsmidth okmill', 'sep number number', 'india cements posts apriljune quarter net at rs numbernumbercrore', 'jul number number', 'india cements qnumberfynumber standalone net profit declines numbernumberyoy', 'jul number number', 'india fourmonth cement slump seen ending on roads housesspend', 'sep number number', 'india cements sizzles number on receiving subsidiary merger nod fromnclt', 'apr number number']",sentiment - Stock: INDIACEM score:0.152
AJANTPHARM,"['buy ajanta pharma target rs number dr cknarayan', 'sep number number', 'sell ajanta pharma target rs numbernumber  dr cknarayan', 'aug number number', 'ajanta pharma qnumberfynumber consolidated net profit declines numbernumber  missesestimates', 'aug number number', 'ajanta pharma qnumberfynumber  consolidated net profit rises numbernumberyoy', 'may number number', 'ajanta pharma gets usfda observation for paithanfacility', 'feb number number', 'us fda issues import ban on ajanta pharmas kamagratablets', 'jan number number', 'sell ajanta pharma target rs number rakeshbansal', 'apr number number', 'ajanta pharma announces launch of eletriptan hydrobromidetablets', 'sep number number', 'ajanta pharma announces us fda approval for entacaponetablets', 'sep number number', 'usfda completes inspection of ajanta pharma dahejunit', 'apr number number']",sentiment - Stock: AJANTPHARM score:0.155
AUROPHARMA,"['sell aurobindo pharma target rs numbernumber icicidirect', 'number minutes ago', 'multilateral deal on hiv treatment likely to boost aurobindo pharmasbusiness', 'number hours ago', 'aurobindo pharma in talks to buy shreya life sciencess russiabusiness', 'aug number number', 'buy aurobindo pharma target rs number ashishkyal', 'sep number number', 'aurobindo pharma gets usfda nod for hivdrug', 'aug number number', 'aurobindo pharma to focus on highvalue products inus', 'jun number number', 'sell aurobindo pharma target rs numbernumber  edelweiss financialservices', 'may number number', 'aurobindo pharma intas in race for tevas europeanassets', 'aug number number', 'aurobindo pharma shares in a sweet spot among bitter pharmapills', 'jul number number', 'aurobindo pharma to buy portugal drugmaker generis for numbercrore', 'jan number number']",sentiment - Stock: AUROPHARMA score:0.169
CADILAHC,"['briefcadila healthcare says zydus announces settlement for livalotablets', 'jan number number', 'cadila healthcare gets eir from usfda for baddifacility', 'jun number number', 'how billionaire fatherson duo turned family firm into worldbeater', 'aug number number', 'cadila healthcare plans to raise rsnumbernumber crore viaqip', 'may number number', 'cadila healthcare overtakes lupin as second most valuable pharma company inindia', 'jun number number', 'zydus inks pact with pharm aid for vaccinetechnology', 'sep number number', 'buy cadila healthcare ltd target rs number  edelweiss financialservices', 'jun number number', 'cadila healthcare surges number as usfda issues no observation for moraiyafacility', 'feb number number', 'heres why iifl sees little upside potential for cadilahealthcare', 'number hours ago', 'zydus cadila gets usfda approval to sell bp loweringdrug', 'sep number number']",sentiment - Stock: CADILAHC score:0.165
BIOCON,"['buy biocon ltd target rs numbernumber  rakeshbansal', 'apr number number', 'biocon receives number observations from usfda', 'may number number', 'biocon investors have their eyes on the bigpicture', 'may number number', 'biocon advances over number seeks usfda approval for breast cancerdrug', 'jul number number', 'global biosimilars market key companies amgen inc biocon ltd celltrion inc', 'number hours ago', 'biocons insulin facility in malaysia clears inspections for europeanmarket', 'sep number number', 'indias biocon pulls application for eu approval of twodrugs', 'aug number number', 'us fda to take more time to review bioconmylans trastuzumabapplication', 'aug number number', 'biocon limited bioconbo share activity climbing insession', 'number hours ago', 'focusing on the charts for biocon limitedbioconbo', 'sep number number']",sentiment - Stock: BIOCON score:0.174
BAJAJ-AUTO,"['buy bajaj auto target rs number kunalbothra', 'sep number number', 'cautious bajaj auto may be slow to fireup', 'may number number', 'bajaj auto net profit down numbernumber at rs numbercr', 'may number number', 'buy bajaj auto ltd target rs number prabhudaslilladher', 'jun number number', 'bajaj auto sales down number inmarch', 'apr number number', 'bajaj auto partners with triumph to take on royalenfield', 'aug number number', 'with ducati bajaj auto will reaffirm global goal inbikes', 'jul number number', 'buy bajaj auto target rs number prabhudaslilladher', 'jun number number', 'bajaj close to acquiring performance bike brandducati', 'jul number number', 'bajaj auto risks loom to earningsgrowth', 'jul number number']",sentiment - Stock: BAJAJ-AUTO score:0.122
HEROMOTOCO,"['buy hero motocorp target rs number mazharmohammad', 'aug number number', 'hero motocorp eyes numbercc segment electricvehicles', 'apr number number', 'hero motocorp sales up number at numbernumber lakh units injune', 'jul number number', 'bsiii discounts to hit hero motocorp profit inqnumberfynumber', 'may number number', 'hero moto corp presents number duet scooters to woman police officers inbhopal', 'sep number number', 'hero motocorp qnumber net profit rises numbernumber yoy to rs numbercrore', 'jul number number', 'hero motocorp ltd qnumber fynumber consolidated net profit declines numbernumberyoy', 'may number number', 'hero motocorp ltd heromotocobo mfi reading under themicroscope', 'number hours ago', 'how vijay sethi is driving the digital twin project at hero motocorp', 'mar number number', 'hero motocorp rebounds after ubs takes ratingsuturn', 'number minutes ago']",sentiment - Stock: HEROMOTOCO score:0.384
AMARAJABAT,"['sell amara raja batteries target rs number manasjaiswal', 'number hours ago', 'amara raja batteries qnumber profit drops to rs numbercr', 'aug number number', 'amara raja batteries net profit drops numbernumber to rs numbernumber crore in qnumber', 'aug number number', 'amara raja batteries profit down to number crore inqnumber', 'may number number', 'briefamara raja batteries appoints s vijayanand asceo', 'mar number number', 'amara raja batteries growth could come at the cost ofmargins', 'jun number number', 'amara raja launches brutehi life batteries for logisticsindustry', 'sep number number', 'accumulate amara raja batteries target of rs number geojitresearch', 'aug number number', 'buy amara raja batteries target rs number  sumeetbagadia', 'mar number number', 'buy amara raja batteries ltd target rs number  edelweiss financialservices', 'may number number']",sentiment - Stock: AMARAJABAT score:0.196
