SYMBOL,NAME
IRI,AB Nuvo
ACC,ACC
AE01,Adani Enterpris
MPS,Adani Ports
AP26,Adani Power
AP22,Ajanta Pharma
AB15,Allahabad Bank
ARB,Amara Raja Batt
GAC,Ambuja Cements
AB14,Andhra Bank
AHE,Apollo Hospital
AT,Apollo Tyres
AM,Arvind
AL,Ashok Leyland
API,Asian Paints
AP,Aurobindo Pharm
UTI10,Axis Bank
BA06,Bajaj Auto
BAF,Bajaj Finance
BF04,Bajaj Finserv
BI03,Balkrishna Ind
BCM,Balrampur Chini
BOB,Bank of Baroda
BOI,Bank of India
BI01,Bata India
BEM,BEML
BPI02,Berger Paints
BE03,Bharat Elec
SM15,Bharat Fin
BFC,Bharat Forge
BTV,Bharti Airtel
BI26,Bharti Infratel
BHE,BHEL
BL03,Biocon
MIC,Bosch
BPC,BPCL
BI,Britannia
CHC,Cadila Health
CFH,Can Fin Homes
CB06,Canara Bank
FCH,Capital First
CI01,Castrol
C07,Ceat
CTI,Century
CES,CESC
CG,CG Power 
CIF01,Cholamandalam
C,Cipla
CI29,Coal India
CPI,Colgate
CCI,Container Corp
CI02,Cummins
DI,Dabur India
DBE,Dalmia Bharat
DCB01,DCB Bank
DHF,Dewan Housing
DTV,Dish TV
DL03,Divis Labs
D04,DLF
DRL,Dr Reddys Labs
EM,Eicher Motors
EI14,EngineersInd
EH03,Equitas Holding
E,Escorts
EI,Exide Ind
FB,Federal Bank
FH,Fortis Health
GAI,GAIL
GP08,Glenmark
GI27,GMR Infra
GPI,Godfrey Phillip
GCP,Godrej Consumer
GS,Godrej Ind
GI22,Granules India
GI01,Grasim
GSF,GSFC
HI01,Havells India
HCL02,HCL Tech
HDF,HDFC
HDF01,HDFC Bank
HDI,HDIL
HHM,Hero Motocorp
A,Hexaware Tech
HCC,Hind Constr
HZ,Hind Zinc
H,Hindalco
HPC,HPCL
HL,HUL
ICI02,ICICI Bank
IDB,IDBI Bank
IC8,Idea Cellular
IDF,IDFC
IDF01,IDFC Bank
IFC,IFCI
IG04,IGL
IC,India Cements
IHF01,Indiabulls Hsg
IRE01,Indiabulls Real
IB04,Indian Bank
ICI07,Indo Count
IIB,IndusInd Bank
IIL03,Infibeam Incorp
IT,Infosys
IA05,Interglobe Avi
IOC,IOC
IID01,IRB Infra
ITC,ITC
JIS02,Jain Irrigation
JA02,Jaiprakash Asso
JA01,Jet Airways
JSP,Jindal Steel
JE02,JSW Energy
JVS,JSW Steel
JF04,Jubilant Food
JD02,Just Dial
KC06,Kajaria Ceramic
KB04,Karnataka Bank
KSC01,Kaveri Seed
KMF,Kotak Mahindra
KPI01,KPIT Tech
LFH,L&amp;T Finance
LT,Larsen
LIC,LIC Housing Fin
LC03,Lupin
MM,M&amp;M
MMF04,M&amp;M Financial
MG02,Mahanagar Gas
MI25,Marico
MU01,Maruti Suzuki
MI,Max Financial
MCE,MCX India
MC20,Mindtree
MSS01,Motherson Sumi
MRF,MRF
MRP,MRPL
MF19,Muthoot Finance
NAC,NALCO
NBC,NBCC (India)
NCC01,NCC
NI,Nestle
N07,NHPC
NII02,NIIT Tech
NMD01,NMDC
NTP,NTPC
OI13,Oil India
ONG,ONGC
S11,Oracle Fin Serv
OBC,Oriental Bank
PI35,Page Industries
PJ,PC Jeweller
PLN,Petronet LNG
PI11,Pidilite Ind
NP07,Piramal Enter
PNB05,PNB
PFC02,Power Finance
PGC,Power Grid Corp
PTC01,PTC India
PVR,PVR
MC,Ramco Cements
R,Raymond
RB02,RBL Bank
REC02,REC
RCF,Rel Capital
RI,Reliance
RCV02,Reliance Comm
PS14,Reliance Def
BSE,Reliance Infra
RP,Reliance Power
SAI,SAIL
SBI,SBI
SC12,Shree Cements
STF,Shriram Trans
S,Siemens
SI27,Sintex Ind
SIB,South Ind Bk
SRF,SRF
SA10,Strides Shasun
SPI,Sun Pharma
STV01,Sun TV Network
SE17,Suzlon Energy
SB9,Syndicate Bank
TC,Tata Chemicals
VSN,Tata Comm
TEI,Tata Elxsi
TT,Tata Global Bev
TEL,Tata Motors
TMD,Tata Motors (D)
TPC,Tata Power
TIS,Tata Steel
TCS,TCS
TM4,Tech Mahindra
TI01,Titan Company
TP06,Torrent Pharma
TP13,Torrent Power
GBN,TV18 Broadcast
TVS,TVS Motor
UFS01,Ujjivan Financi
UTC,UltraTechCement
UBI01,Union Bank
UBB,United Brewerie
MC08,United Spirits
SI10,UPL
VI16,V-Guard Ind
SG,Vedanta
V,Voltas
W,Wipro
W05,Wockhardt
YB,Yes Bank
ZT,Zee Entertain
						